accession,protein_type,general_function,specific_function,subcellular_location,residue_number,genbank_protein_id,uniprot_id,genbank_gene_id,genecard_id,hgnc_id,protein_dcid,gene19_dcid,gene38_dcid
HMDBP10743,dcs:ProteinTypeUnknown,"""Involved in L-serine transmembrane transporter activity""","""Enhances the incorporation of serine into phosphatidylserine and sphingolipids""",dcs:CellularCompartmentEndoplasmicReticulumMembrane,453,24308213,Q9NRX5,NM_020755.2,SERINC1,13464,bio/SERC1_HUMAN,bio/hg19_SERINC1,bio/hg38_SERINC1
HMDBP10744,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Receptor potentially involved in both adhesion and signaling processes early after leukocyte activation. Plays an essential role in leukocyte migration""",dcs:CellularCompartmentExtracellularSpace,835,17978491,P48960,NM_078481.2,CD97,1711,bio/CD97_HUMAN,bio/hg19_CD97,bio/hg38_ADGRE5
HMDBP10747,dcs:ProteinTypeUnknown,"""Involved in anion transport""","""Transporter which plays an important role in sodium-mediated fluid transport in different organs. Prevents severe morphological changes of the cornea caused by increased sodium chloride concentrations in the stroma. In the inner ear, is involved in transport of potassium through the fibrocyte layer to the stria vascularis and is essential for the generation of the endocochlear potential but not for regulation of potassium concentrations in the endolymph. In the kidney, is essential for urinary concentration, mediates a sodium flux into the thin descending limb of Henle loop to allow countercurrent multiplication by osmotic equilibration (By similarity). Involved in borate homeostasis. In the absence of borate, it functions as a Na(+) and OH(-)(H(+)) channel. In the presence of borate functions as an electrogenic Na(+) coupled borate cotransporter.""",dcs:CellularCompartmentCellMembrane,891,13249297,Q8NBS3,AF336127,SLC4A11,16438,bio/S4A11_HUMAN,bio/hg19_SLC4A11,bio/hg38_SLC4A11
HMDBP10749,dcs:ProteinTypeUnknown,"""Involved in DNA binding""","""Interacts with the upstream promoter region of the oxytocin receptor gene. May be a transcriptional enhancer in the up-regulation of the oxytocin receptor gene at parturition. Since it lacks a putative transactivation domain, it may behave as a transcriptional repressor when it dimerize among himself. May also serve as a transcriptional activator by dimerizing with other (usually larger) basic-zipper proteins and recruiting them to specific DNA-binding sites. May be involved in the cellular stress response""",dcs:CellularCompartmentNucleus,164,6429134,Q9ULX9,AB025247,MAFF,6780,bio/MAFF_HUMAN,bio/hg19_MAFF,bio/hg38_MAFF
HMDBP10750,dcs:ProteinTypeUnknown,"""Involved in oxytocin receptor activity""","""nan""",,97,117956301,A0T1J2,EF070741,OXTR,8529,bio/OXYR_HUMAN,bio/hg19_OXTR,bio/hg38_OXTR
HMDBP10751,dcs:ProteinTypeUnknown,"""Involved in neurohypophyseal hormone activity""","""nan""",,39,2625108,Q9UEW6,AF031475,,894,bio/Q9UEW6_HUMAN,,
HMDBP10752,dcs:ProteinTypeUnknown,"""Involved in protein binding""","""Coat protein that is involved in the localization of trans-Golgi network (TGN) membrane proteins that contain acidic cluster sorting motifs. Controls the endosome-to-Golgi trafficking of furin and mannose-6-phosphate receptor by connecting the acidic-cluster-containing cytoplasmic domain of these molecules with the adapter-protein complex-1 (AP-1) of endosomal clathrin- coated membrane pits. Involved in HIV-1 nef-mediated removal of MHC-I from the cell surface to the TGN""",dcs:CellularCompartmentGolgiApparatus,963,30089916,Q6VY07,NM_018026.2,PACS1,30032,bio/PACS1_HUMAN,bio/hg19_PACS1,bio/hg38_PACS1
HMDBP10753,dcs:ProteinTypeUnknown,"""Involved in enzyme binding""","""Functions as a sorting receptor in the Golgi compartment and as a clearance receptor on the cell surface. Required for protein transport from the Golgi apparatus to the lysosomes by a pathway that is independent of the mannose-6-phosphate receptor (M6PR). Also required for protein transport from the Golgi apparatus to the endosomes. Promotes neuronal apoptosis by mediating endocytosis of the proapoptotic precursor forms of BDNF (proBDNF) and NGFB (proNGFB). Also acts as a receptor for neurotensin. May promote mineralization of the extracellular matrix during osteogenic differentiation by scavenging extracellular LPL. Probably required in adipocytes for the formation of specialized storage vesicles containing the glucose transporter SLC2A4/GLUT4 (GLUT4 storage vesicles, or GSVs). These vesicles provide a stable pool of SLC2A4 and confer increased responsiveness to insulin. May also mediate transport from the endoplasmic reticulum to the Golgi""",dcs:CellularCompartmentCellMembrane,831,55959339,Q99523,AL390252,SORT1,11186,bio/SORT_HUMAN,bio/hg19_SORT1,bio/hg38_SORT1
HMDBP10754,dcs:ProteinTypeUnknown,"""Involved in microtubule motor activity""","""Plus end-directed microtubule-dependent motor protein involved in mannose-6-phosphate receptor (M6PR) transport to the plasma membrane""",dcs:CellularCompartmentCytoplasm,1805,157738621,Q9H1H9,NM_022113.4,KIF13A,14566,bio/KI13A_HUMAN,bio/hg19_KIF13A,bio/hg38_KIF13A
HMDBP10755,dcs:ProteinTypeUnknown,"""Involved in androgen receptor binding""","""May play a role in autophagy. May regulate the trafficking of proteins involved in the mannose-6-phosphate receptor (MPR) recycling pathway""",dcs:CellularCompartmentCytoplasmicVesicle,446,157388939,Q5MNZ9,NM_017983.5,WIPI1,25471,bio/WIPI1_HUMAN,bio/hg19_WIPI1,bio/hg38_WIPI1
HMDBP10756,dcs:ProteinTypeUnknown,"""Translation, ribosomal structure and biogenesis""","""Related to nucleologenesis, may play a role in the maintenance of the fundamental structure of the fibrillar center and dense fibrillar component in the nucleolus. It has intrinsic GTPase and ATPase activities. May play an important role in transcription catalyzed by RNA polymerase I""",dcs:CellularCompartmentNucleus,699,55665422,Q14978,AL500527,NOLC1,15608,bio/NOLC1_HUMAN,bio/hg19_NOLC1,bio/hg38_NOLC1
HMDBP10757,dcs:ProteinTypeUnknown,"""Involved in ARF GTPase activator activity""","""GTPase-activating protein for ARF1 and, to a lesser extent, ARF5. Directly and specifically regulates the adapter protein 3 (AP-3)-dependent trafficking of proteins in the endosomal-lysosomal system""",dcs:CellularCompartmentCytoplasm,857,80978930,Q9UPQ3,NM_001037131.1,AGAP1,16922,bio/AGAP1_HUMAN,bio/hg19_AGAP1,bio/hg38_AGAP1
HMDBP10758,dcs:ProteinTypeUnknown,"""Involved in signal transducer activity""","""Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. The G(i) proteins are involved in hormonal regulation of adenylate cyclase:they inhibit the cyclase in response to beta-adrenergic stimuli""",,354,20147703,P63096,AF493905,GNAI1,4384,bio/GNAI1_HUMAN,bio/hg19_GNAI1,bio/hg38_GNAI1
HMDBP10759,dcs:ProteinTypeUnknown,"""Involved in signal transducer activity""","""Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. The G(s) protein is involved in hormonal regulation of adenylate cyclase:it activates the cyclase in response to beta-adrenergic stimuli. XLas isoforms interact with the same set of receptors as Gnas isoforms""",dcs:CellularCompartmentCellMembrane,1037,117938759,Q5JWF2,NM_080425.2,GNAS,4392,bio/ALEX_HUMAN,bio/hg19_GNAS,bio/hg38_GNAS
HMDBP10760,dcs:ProteinTypeUnknown,"""Involved in GTPase activity""","""Function in general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes. Seems to function along with eIF-2""",dcs:CellularCompartmentCytoplasm,1220,84043963,O60841,NM_015904.3,EIF5B,30793,bio/IF2P_HUMAN,bio/hg19_EIF5B,bio/hg38_EIF5B
HMDBP10761,dcs:ProteinTypeUnknown,"""Involved in binding""","""Has palmitoylcarnitine transporting activity (By similarity).""",dcs:CellularCompartmentMitochondrionInnerMembrane,303,86198310,Q8N8R3,NM_001039355.1,SLC25A29,20116,bio/MCATL_HUMAN,bio/hg19_SLC25A29,bio/hg38_SLC25A29
HMDBP10762,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""Putative subunit of the beta-cell ATP-sensitive potassium channel (KATP). Regulator of ATP-sensitive K(+) channels and insulin release""",dcs:CellularCompartmentMembrane,1581,118582255,Q09428,NM_000352.3,ABCC8,59,bio/ABCC8_HUMAN,bio/hg19_ABCC8,bio/hg38_ABCC8
HMDBP10763,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""May function in mRNA translation""",dcs:CellularCompartmentCytoplasm,845,69354671,Q8NE71,NM_001025091.1,ABCF1,70,bio/ABCF1_HUMAN,bio/hg19_ABCF1,bio/hg38_ABCF1
HMDBP10764,dcs:ProteinTypeTransporter,"""Involved in ATP binding""","""Involved in the transport of antigens from the cytoplasm to the endoplasmic reticulum for association with MHC class I molecules. Also acts as a molecular scaffold for the final stage of MHC class I folding, namely the binding of peptide. Nascent MHC class I molecules associate with TAP via tapasin. Inhibited by the covalent attachment of herpes simplex virus ICP47 protein, which blocks the peptide-binding site of TAP. Inhibited by human cytomegalovirus US6 glycoprotein, which binds to the lumenal side of the TAP complex and inhibits peptide translocation by specifically blocking ATP-binding to TAP1 and prevents the conformational rearrangement of TAP induced by peptide binding. Inhibited by human adenovirus E3-19K glycoprotein, which binds the TAP complex and acts as a tapasin inhibitor, preventing MHC class I/TAP association. Expression of TAP1 is down-regulated by human Epstein-Barr virus vIL-10 protein, thereby affecting the transport of peptides into the endoplasmic reticulum and subsequent peptide loading by MHC class I molecules""",dcs:CellularCompartmentEndoplasmicReticulumMembrane,808,36061,Q03518,X57522,TAP1,43,bio/TAP1_HUMAN,bio/hg19_TAP1,bio/hg38_TAP1
HMDBP10765,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""Involved in the transport of antigens from the cytoplasm to the endoplasmic reticulum for association with MHC class I molecules. Also acts as a molecular scaffold for the final stage of MHC class I folding, namely the binding of peptide. Nascent MHC class I molecules associate with TAP via tapasin. Inhibited by the covalent attachment of herpes simplex virus ICP47 protein, which blocks the peptide-binding site of TAP. Inhibited by human cytomegalovirus US6 glycoprotein, which binds to the lumenal side of the TAP complex and inhibits peptide translocation by specifically blocking ATP-binding to TAP1 and prevents the conformational rearrangement of TAP induced by peptide binding. Inhibited by human adenovirus E3-19K glycoprotein, which binds the TAP complex and acts as a tapasin inhibitor, preventing MHC class I/TAP association""",dcs:CellularCompartmentEndoplasmicReticulumMembrane,686,168983733,Q03519,CT009502,TAP2,44,bio/TAP2_HUMAN,bio/hg19_TAP2,bio/hg38_TAP2
HMDBP10766,dcs:ProteinTypeUnknown,"""Involved in microtubule motor activity""","""Minus end-directed microtubule-dependent motor required for bipolar spindle formation. May contribute to movement of early endocytic vesicles""",dcs:CellularCompartmentNucleus,673,167555110,Q9BW19,NM_002263.3,KIFC1,6389,bio/KIFC1_HUMAN,bio/hg19_KIFC1,bio/hg38_KIFC1
HMDBP10767,dcs:ProteinTypeUnknown,"""Involved in nucleotide binding""","""Binds to cytidine clusters in double-stranded DNA""",dcs:CellularCompartmentNucleusSpeckle,1978,62526045,Q14966,NM_001014972.1,ZNF638,17894,bio/ZN638_HUMAN,bio/hg19_ZNF638,bio/hg38_ZNF638
HMDBP10768,dcs:ProteinTypeUnknown,"""Involved in nucleotide binding""","""RNA-binding protein implicated in the regulation of several post-transcriptional events. Involved in pre-mRNA alternative splicing, mRNA translation and stability. Mediates exon inclusion and/or exclusion in pre-mRNA that are subject to tissue-specific and developmentally regulated alternative splicing. Specifically activates exon 5 inclusion of TNNT2 in embryonic, but not adult, skeletal muscle. Activates TNNT2 exon 5 inclusion by antagonizing the repressive effect of PTB. Acts as both an activator and repressor of a pair of coregulated exons:promotes inclusion of the smooth muscle (SM) exon but exclusion of the non-muscle (NM) exon in actinin pre-mRNAs. Promotes inclusion of exonS 21 and exclusion of exon 5 of the NMDA receptor R1 pre- mRNA. Involved in the apoB RNA editing activity. Increases COX2 mRNA stability and inhibits COX2 mRNA translation in epithelial cells after radiation injury. Modulates the cellular apoptosis program by regulating COX2-mediated prostaglandin E2 (PGE2) expression. Binds to (CUG)n triplet repeats in the 3'-UTR of transcripts such as DMPK. Binds to the muscle-specific splicing enhancer (MSE) intronic sites flanking the TNNT2 alternative exon 5. Binds preferentially to UG-rich sequences, in particular UG repeat and UGUU motifs. Binds to apoB mRNA, specifically to AU-rich sequences located immediatly upstream of the edited cytidine. Binds AU-rich sequences in the 3'-UTR of COX2 mRNA. Binds to an intronic RNA element responsible for the silencing of exon 21 splicing. Binds to (CUG)n repeats""",dcs:CellularCompartmentNucleus,508,68303647,O95319,NM_001025077.2,CELF2,2550,bio/CELF2_HUMAN,bio/hg19_CELF2,bio/hg38_CELF2
HMDBP10769,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Beta-adrenergic receptors mediate the catecholamine- induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis""",dcs:CellularCompartmentCellMembrane,408,312397,P13945,X70811,ADRB3,288,bio/ADRB3_HUMAN,bio/hg19_ADRB3,bio/hg38_ADRB3
HMDBP10770,dcs:ProteinTypeUnknown,"""Involved in neurotransmitter:sodium symporter activity""","""nan""",,53,5360691,Q9Y6W9,AB022847,,11048,bio/Q9Y6W9_HUMAN,,
HMDBP10771,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Alpha-2 adrenergic receptors mediate the catecholamine- induced inhibition of adenylate cyclase through the action of G proteins""",dcs:CellularCompartmentCellMembrane,462,11055419,P18825,AF280399,ADRA2C,283,bio/ADA2C_HUMAN,bio/hg19_ADRA2C,bio/hg38_ADRA2C
HMDBP10772,dcs:ProteinTypeUnknown,"""Involved in neurotransmitter:sodium symporter activity""","""nan""",,42,5360689,Q9UQ04,AB022846,,11048,bio/Q9UQ04_HUMAN,,
HMDBP10773,dcs:ProteinTypeUnknown,"""nan""","""nan""",,18,4335929,Q71UR5,AF061198,NET,,bio/ELK3_HUMAN,bio/hg19_ELK3,bio/hg38_ELK3
HMDBP10774,dcs:ProteinTypeUnknown,"""Involved in nucleotide binding""","""Essential component of the apolipoprotein B mRNA editing enzyme complex which is responsible for the postranscriptional editing of a CAA codon for Gln to a UAA codon for stop in APOB mRNA. Binds to APOB mRNA and is probably responsible for docking the catalytic subunit, APOBEC1, to the mRNA to allow it to deaminate its target cytosine. The complex also protects the edited APOB mRNA from nonsense-mediated decay""",dcs:CellularCompartmentNucleus,594,311771768,Q9NQ94,NM_001198820.1,A1CF,24086,bio/A1CF_HUMAN,bio/hg19_A1CF,bio/hg38_A1CF
HMDBP10775,dcs:ProteinTypeUnknown,"""Involved in DNA binding""","""Transcriptional repressor that binds CpG islands in promoters where the DNA is methylated at position 5 of cytosine within CpG dinucleotides. Binding is abolished by the presence of 7-mG that is produced by DNA damage by methylmethanesulfonate (MMS). Acts as transcriptional repressor and plays a role in gene silencing by recruiting AFT7IP, which in turn recruits factors such as the histone methyltransferase SETDB1. Probably forms a complex with SETDB1 and ATF7IP that represses transcription and couples DNA methylation and histone 'Lys-9' trimethylation. Isoform 1 and isoform 2 can also repress transcription from unmethylated promoters""",dcs:CellularCompartmentNucleusSpeckle,605,21464117,Q9UIS9,NM_015846.3,MBD1,6916,bio/MBD1_HUMAN,bio/hg19_MBD1,bio/hg38_MBD1
HMDBP10776,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Dual specificity receptor for uracil nucleotides and cysteinyl leukotrienes (CysLTs). Signals through G(i) and inhibition of adenylyl cyclase. May mediate brain damage by nucleotides and CysLTs following ischemia""",dcs:CellularCompartmentCellMembrane,367,238814302,Q13304,NM_001161415.1,GPR17,4471,bio/GPR17_HUMAN,bio/hg19_GPR17,bio/hg38_GPR17
HMDBP10777,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for eicosanoids and polyunsaturated fatty acids such as 5-oxo-6E,8Z,11Z,14Z-eicosatetraenoic acid (5-OXO-ETE), 5(S)-hydroperoxy-6E,8Z,11Z,14Z-eicosatetraenoic acid (5(S)-HPETE) and arachidonic acid. Seems to be coupled to the G(i)/G(o), families of heteromeric G proteins""",dcs:CellularCompartmentCellMembrane,423,22507376,Q8TDS5,NM_148962.4,OXER1,24884,bio/OXER1_HUMAN,bio/hg19_OXER1,bio/hg38_OXER1
HMDBP10778,dcs:ProteinTypeUnknown,"""Involved in oxidoreductase activity""","""Accessory potassium channel protein which modulates the activity of the pore-forming alpha subunit. Alters functional properties of Kv1.4""",dcs:CellularCompartmentCytoplasm,367,2599568,Q13303,AF029749,KCNAB2,6229,bio/KCAB2_HUMAN,bio/hg19_KCNAB2,bio/hg38_KCNAB2
HMDBP10779,dcs:ProteinTypeUnknown,"""Involved in folic acid binding""","""nan""",,68,30962027,Q7Z7J1,AY288293,SLC19A2,10938,bio/S19A2_HUMAN,bio/hg19_SLC19A2,bio/hg38_SLC19A2
HMDBP10780,dcs:ProteinTypeUnknown,"""nan""","""nan""",,16,164370706,B0FBR7,EU302825,SLC19A2,,bio/S19A2_HUMAN,bio/hg19_SLC19A2,bio/hg38_SLC19A2
HMDBP10781,dcs:ProteinTypeUnknown,"""Involved in folic acid binding""","""nan""",,459,56417731,Q5TIE1,AL021068,SLC19A2,10938,bio/S19A2_HUMAN,bio/hg19_SLC19A2,bio/hg38_SLC19A2
HMDBP10782,dcs:ProteinTypeUnknown,"""Involved in transporter activity""","""Forms a water-specific channel that provides the plasma membranes of red cells and kidney proximal tubules with high permeability to water, thereby permitting water to move in the direction of an osmotic gradient""",dcs:CellularCompartmentMembrane,269,,P29972,M77829,AQP1,633,bio/AQP1_HUMAN,bio/hg19_AQP1,bio/hg38_AQP1
HMDBP10783,dcs:ProteinTypeUnknown,"""Involved in transporter activity""","""Forms a water-specific channel. Osmoreceptor which regulates body water balance and mediates water flow within the central nervous system""",dcs:CellularCompartmentMembrane,323,18490380,P55087,BC022286,AQP4,637,bio/AQP4_HUMAN,bio/hg19_AQP4,bio/hg38_AQP4
HMDBP10784,dcs:ProteinTypeUnknown,"""Involved in transporter activity""","""Water channel required to promote glycerol permeability and water transport across cell membranes. May contribute to water transport in the upper portion of small intestine. Isoform 2 is not permeable to urea and glycerol""",dcs:CellularCompartmentMembrane,301,20372965,Q96PS8,AB066105,AQP10,16029,bio/AQP10_HUMAN,bio/hg19_AQP10,bio/hg38_AQP10
HMDBP10785,dcs:ProteinTypeUnknown,"""Involved in DNA binding""","""Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity.""",dcs:CellularCompartmentNucleus,821,,Q14566,D84557,MCM6,6949,bio/MCM6_HUMAN,bio/hg19_MCM6,bio/hg38_MCM6
HMDBP10786,dcs:ProteinTypeUnknown,"""Involved in nucleotide binding""","""Acts as component of the MCM2-7 complex (MCM complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity. Required for S-phase checkpoint activation upon UV-induced damage.""",dcs:CellularCompartmentNucleus,719,33469968,P33993,NM_005916.3,MCM7,6950,bio/MCM7_HUMAN,bio/hg19_MCM7,bio/hg38_MCM7
HMDBP10788,dcs:ProteinTypeUnknown,"""Involved in catalytic activity""","""nan""",,575,51476873,Q68D27,CR749608,DKFZp686B20267,6936,bio/Q68D27_HUMAN,,
HMDBP10789,dcs:ProteinTypeUnknown,"""nan""","""Retroviral envelope proteins mediate receptor recognition and membrane fusion during early infection. Endogenous envelope proteins may have kept, lost or modified their original function during evolution""",dcs:CellularCompartmentVirion,191,34533179,P61568,AK126628,,,bio/ENK11_HUMAN,bio/hg19_ERVK11-1,bio/hg38_ERVK11-1
HMDBP10790,dcs:ProteinTypeUnknown,"""Involved in arsenite transmembrane transporter activity""","""Could be involved in the transport of tyrosine, the precursor to melanin synthesis, within the melanocyte. Regulates the pH of melanosome and the melanosome maturation. One of the components of the mammalian pigmentary system. Seems to regulate the post-translational processing of tyrosinase, which catalyzes the limiting reaction in melanin synthesis. May serve as a key control point at which ethnic skin color variation is determined. Major determinant of brown and/or blue eye color""",dcs:CellularCompartmentMelanosomeMembrane,838,157266326,Q04671,NM_000275.2,OCA2,8101,bio/P_HUMAN,bio/hg19_OCA2,bio/hg38_OCA2
HMDBP10791,dcs:ProteinTypeUnknown,"""Involved in protein binding""","""Proteoglycan playing a role in cell proliferation and migration which stimulates endothelial cells motility during microvascular morphogenesis. May also inhibit neurite outgrowth and growth cone collapse during axon regeneration. Cell surface receptor for collagen alpha 2(VI) which may confer cells ability to migrate on that substrate. Binds through its extracellular N- terminus growth factors, extracellular matrix proteases modulating their activity. May regulate MPP16-dependent degradation and invasion of type I collagen participating in melanoma cells invasion properties. May modulate the plasminogen system by enhancing plasminogen activation and inhibiting angiostatin. Functions also as a signal transducing protein by binding through its cytoplasmic C-terminus scaffolding and signaling proteins. May promote retraction fiber formation and cell polarization through Rho GTPase activation. May stimulate alpha-4, beta-1 integrin- mediated adhesion and spreading by recruiting and activating a signaling cascade through CDC42, ACK1 and BCAR1. May activate FAK and ERK1/ERK2 signaling cascades""",dcs:CellularCompartmentSinglePassTypeIMembraneProtein,2322,47419930,Q6UVK1,NM_001897.4,CSPG4,2466,bio/CSPG4_HUMAN,bio/hg19_CSPG4,bio/hg38_CSPG4
HMDBP10792,dcs:ProteinTypeUnknown,"""Involved in growth factor activity""","""Germinal center-B (GC-B) cells differentiate into memory B-cells and plasma cells (PC) through interaction with T-cells and follicular dendritic cells (FDC). CD320 augments the proliferation of PC precursors generated by IL-10. Receptor for the cellular uptake of transcobalamin bound cobalamin""",dcs:CellularCompartmentMembrane,282,7706111,Q9NPF0,NM_016579.3,CD320,16692,bio/CD320_HUMAN,bio/hg19_CD320,bio/hg38_CD320
HMDBP10793,dcs:ProteinTypeUnknown,"""Involved in cobalamin binding""","""nan""",,423,21071010,B5MBX2,NM_000355,TCN2,11653,bio/TCO2_HUMAN,bio/hg19_TCN2,bio/hg38_TCN2
HMDBP10794,dcs:ProteinTypeTransporter,"""nan""","""nan""",dcs:CellularCompartmentMembrane,710,148612887,Q53GD3,NM_025257.2,SLC44A4,13941,bio/CTL4_HUMAN,bio/hg19_SLC44A4,bio/hg38_SLC44A4
HMDBP10795,dcs:ProteinTypeTransporter,"""Involved in choline transmembrane transporter activity""","""Isoform 1, but not isoform 3, exhibits some choline transporter activity.""",dcs:CellularCompartmentMembrane,706,6996444,Q8IWA5,AJ245621,SLC44A2,17292,bio/CTL2_HUMAN,bio/hg19_SLC44A2,bio/hg38_SLC44A2
HMDBP10796,dcs:ProteinTypeTransporter,"""nan""","""nan""",dcs:CellularCompartmentMembrane,653,166235173,Q8N4M1,NM_001114106.1,SLC44A3,28689,bio/CTL3_HUMAN,bio/hg19_SLC44A3,bio/hg38_SLC44A3
HMDBP10797,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for the lysosphingolipid sphingosine 1- phosphate (S1P). S1P is a bioactive lysophospholipid that elicits diverse physiological effect on most types of cells and tissues. When expressed in rat HTC4 hepatoma cells, is capable of mediating S1P-induced cell proliferation and suppression of apoptosis""",dcs:CellularCompartmentCellMembrane,378,2668612,Q99500,AF022139,S1PR3,3167,bio/S1PR3_HUMAN,bio/hg19_S1PR3,bio/hg38_S1PR3
HMDBP10798,dcs:ProteinTypeUnknown,"""Involved in transmembrane transport""","""Mediates the transport of adenosine 3'-phospho 5'- phosphosulfate (PAPS), from cytosol into Golgi. PAPS is a universal sulfuryl donor for sulfation events that take place in the Golgi. Compensates for the insufficient expression of SLC35B2/PAPST1 during the synthesis of sulfated glycoconjugates in the colon""",dcs:CellularCompartmentGolgiApparatusMembrane,401,90991129,Q9H1N7,AB231931,SLC35B3,21601,bio/S35B3_HUMAN,bio/hg19_SLC35B3,bio/hg38_SLC35B3
HMDBP10799,dcs:ProteinTypeUnknown,"""Involved in transporter activity""","""Probable hydrophobic ligand-binding protein; may play a role in the transport of hydrophobic ligands like tocopherol, squalene and phospholipids""",,400,,Q9UDX4,AY158086,SEC14L3,18655,bio/S14L3_HUMAN,bio/hg19_SEC14L3,bio/hg38_SEC14L3
HMDBP10800,dcs:ProteinTypeUnknown,"""Involved in transporter activity""","""Probable hydrophobic ligand-binding protein; may play a role in the transport of hydrophobic ligands like tocopherol, squalene and phospholipids""",,406,,Q9UDX3,AY158085,SEC14L4,20627,bio/S14L4_HUMAN,bio/hg19_SEC14L4,bio/hg38_SEC14L4
HMDBP10801,dcs:ProteinTypeUnknown,"""Involved in protein binding""","""May be implicated in biomineralization processes. Has a function in binding of osteoblasts via the alpha(V)beta(3)- integrin""",dcs:CellularCompartmentSecreted,421,1769800,Q99983,AB000114,OMD,8134,bio/OMD_HUMAN,bio/hg19_OMD,bio/hg38_OMD
HMDBP10802,dcs:ProteinTypeUnknown,"""Involved in female pregnancy""","""nan""",dcs:CellularCompartmentSecreted,245,7532780,O95467,AF105253,GNAS,4392,bio/ALEX_HUMAN,bio/hg19_GNAS,bio/hg38_GNAS
HMDBP10803,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Involved in cannabinoid-induced CNS effects. Acts by inhibiting adenylate cyclase. Could be a receptor for anandamide. Inhibits L-type Ca(2+) channel current. Isoform 2 and isoform 3 have altered ligand binding""",dcs:CellularCompartmentCellMembrane,472,29915,P21554,X54937,CNR1,2159,bio/CNR1_HUMAN,bio/hg19_CNR1,bio/hg38_CNR1
HMDBP10804,dcs:ProteinTypeUnknown,"""Involved in defense response""","""Has antimicrobial activity against Gram-negative bacteria, and to a lesser extent also against Gram-positive bacteria and fungi. Protects blood cells against infection with HIV-1 (in vitro). Inhibits corticotropin (ACTH)-stimulated corticosterone production""",dcs:CellularCompartmentSecreted,97,665927,P12838,U18745,DEFA4,2763,bio/DEF4_HUMAN,bio/hg19_DEFA4,bio/hg38_DEFA4
HMDBP10805,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for trace amines, including beta- phenylethylamine (b-PEA), p-tyramine (p-TYR), octopamine and tryptamine, with highest affinity for b-PEA and p-TYR. Unresponsive to classical biogenic amines, such as epinephrine and histamine and only partially activated by dopamine and serotonine. Trace amines are biogenic amines present in very low levels in mammalian tissues. Although some trace amines have clearly defined roles as neurotransmitters in invertebrates, the extent to which they function as true neurotransmitters in vertebrates has remained speculative. Trace amines are likely to be involved in a variety of physiological functions that have yet to be fully understood. The signal transduced by this receptor is mediated by the G(s)-class of G-proteins which activate adenylate cyclase""",dcs:CellularCompartmentCellMembrane,339,,Q96RJ0,AY180374,TAAR1,17734,bio/TAAR1_HUMAN,bio/hg19_TAAR1,bio/hg38_TAAR1
HMDBP10806,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""This is one of the five types (D1 to D5) of receptors for dopamine. The activity of this receptor is mediated by G proteins which inhibit adenylyl cyclase. Promotes cell proliferation""",dcs:CellularCompartmentCellMembrane,400,,P35462,U32499,DRD3,3024,bio/DRD3_HUMAN,bio/hg19_DRD3,bio/hg38_DRD3
HMDBP10807,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover""",dcs:CellularCompartmentCellMembrane,590,20302973,P20309,AF498917,CHRM3,1952,bio/ACM3_HUMAN,bio/hg19_CHRM3,bio/hg38_CHRM3
